section,x,policy,n_reps,mean_time_hrs,stdev_time_hrs,mean_retired,stdev_retired,depleted_frac
manual_repair_fail_prob,0.9,Thresh ≥3/7d,15,2616.7999999999984,72.7964530140626,6.733333333333333,2.491891612715892,0.0
manual_repair_fail_prob,0.2,Thresh ≥2/7d,15,1951.4999999999995,31.581193544802147,39.93333333333333,7.284687135812125,0.0
manual_repair_fail_prob,0.4,Thresh ≥2/7d,15,2036.4933333333324,42.15518467802171,58.666666666666664,6.172133998483677,0.0
manual_repair_fail_prob,0.6,Thresh ≥2/7d,15,2162.62,31.057250131238188,79.0,8.76682056718072,0.0
manual_repair_fail_prob,0.75,Thresh ≥2/7d,15,2319.123333333333,53.57110050693333,106.2,10.63820607863133,0.0
manual_repair_fail_prob,0.9,Thresh ≥2/7d,15,2485.8,49.394837786959805,127.13333333333334,12.281616149273484,0.0
manual_repair_fail_prob,0.2,SC_fast,15,1909.9999999999995,20.764358199294943,255.0,10.810048235652923,0.0
manual_repair_fail_prob,0.4,SC_fast,15,1988.2333333333331,30.582713760429737,310.0,14.890073395194724,0.0
manual_repair_fail_prob,0.6,SC_fast,15,2030.7033333333318,31.710399751201134,354.06666666666666,10.463997233143656,0.0
manual_repair_fail_prob,0.75,SC_fast,15,2077.716666666667,30.17512378165357,389.6,11.318758134808151,0.0
manual_repair_fail_prob,0.9,SC_fast,15,2108.9233333333345,46.32027428161376,429.53333333333336,15.032662850638019,0.0
manual_repair_fail_prob,0.2,SC_moderate,15,1909.9999999999995,20.764358199294943,255.0,10.810048235652923,0.0
manual_repair_fail_prob,0.4,SC_moderate,15,1988.2333333333331,30.582713760429737,310.0,14.890073395194724,0.0
manual_repair_fail_prob,0.6,SC_moderate,15,2030.7033333333318,31.710399751201134,354.06666666666666,10.463997233143656,0.0
manual_repair_fail_prob,0.75,SC_moderate,15,2077.716666666667,30.17512378165357,389.6,11.318758134808151,0.0
manual_repair_fail_prob,0.9,SC_moderate,15,2108.9233333333345,46.32027428161376,429.53333333333336,15.032662850638019,0.0
manual_repair_fail_prob,0.2,SC_long_period,15,1909.9999999999995,20.764358199294943,255.0,10.810048235652923,0.0
manual_repair_fail_prob,0.4,SC_long_period,15,1988.2333333333331,30.582713760429737,310.0,14.890073395194724,0.0
manual_repair_fail_prob,0.6,SC_long_period,15,2030.7033333333318,31.710399751201134,354.06666666666666,10.463997233143656,0.0
manual_repair_fail_prob,0.75,SC_long_period,15,2077.716666666667,30.17512378165357,389.6,11.318758134808151,0.0
manual_repair_fail_prob,0.9,SC_long_period,15,2108.9233333333345,46.32027428161376,429.53333333333336,15.032662850638019,0.0
manual_repair_fail_prob,0.2,SC_calibrated,15,1946.6966666666658,30.202687124225346,47.06666666666667,7.4590948001815365,0.0
manual_repair_fail_prob,0.4,SC_calibrated,15,2037.733333333333,38.527029781823806,84.06666666666666,6.485882103975269,0.0
manual_repair_fail_prob,0.6,SC_calibrated,15,2163.596666666666,39.41771930538365,138.73333333333332,10.388638482679506,0.0
manual_repair_fail_prob,0.75,SC_calibrated,15,2232.326666666665,55.57120228867941,187.66666666666666,8.837151016885368,0.0
